Date (GMT-7:00),CPM,ACPM,uSv/h,Latitude,Longitude
2023-09-15 12:10:37,15,13.33,0.1,38.864147,-77.7026515
2023-09-15 12:05:35,11,13.33,0.07,38.864147,-77.7026515
2023-09-15 12:00:33,13,13.33,0.08,38.864147,-77.7026515
2023-09-15 11:55:31,13,13.33,0.08,38.864147,-77.7026515
2023-09-15 11:50:31,16,13.33,0.1,38.864147,-77.7026515
2023-09-15 11:45:27,14,13.33,0.09,38.864147,-77.7026515
2023-09-15 11:40:25,15,13.33,0.1,38.864147,-77.7026515
2023-09-15 11:35:23,13,13.33,0.08,38.864147,-77.7026515
2023-09-15 11:30:21,16,13.33,0.1,38.864147,-77.7026515
2023-09-15 11:25:19,13,13.33,0.08,38.864147,-77.7026515
2023-09-15 11:20:17,11,13.33,0.07,38.864147,-77.7026515
2023-09-15 11:15:15,16,13.33,0.1,38.864147,-77.7026515
2023-09-15 11:10:13,20,13.33,0.13,38.864147,-77.7026515
2023-09-15 11:05:11,11,13.33,0.07,38.864147,-77.7026515
2023-09-15 11:00:09,12,13.33,0.08,38.864147,-77.7026515
2023-09-15 10:55:07,14,13.33,0.09,38.864147,-77.7026515
2023-09-15 10:50:07,20,13.33,0.13,38.864147,-77.7026515
2023-09-15 10:45:04,14,13.33,0.09,38.864147,-77.7026515
2023-09-15 10:40:01,12,13.33,0.08,38.864147,-77.7026515
2023-09-15 10:34:59,21,13.33,0.14,38.864147,-77.7026515
2023-09-15 10:29:57,10,13.33,0.06,38.864147,-77.7026515
2023-09-15 10:24:55,20,13.33,0.13,38.864147,-77.7026515
2023-09-15 10:19:53,18,13.33,0.12,38.864147,-77.7026515
2023-09-15 10:14:51,14,13.33,0.09,38.864147,-77.7026515
2023-09-15 10:09:49,14,13.33,0.09,38.864147,-77.7026515
2023-09-15 10:04:49,14,13.33,0.09,38.864147,-77.7026515
2023-09-15 09:59:45,15,13.33,0.1,38.864147,-77.7026515
2023-09-15 09:54:43,18,13.33,0.12,38.864147,-77.7026515
2023-09-15 09:49:41,16,13.33,0.1,38.864147,-77.7026515
2023-09-15 09:44:39,14,13.33,0.09,38.864147,-77.7026515
2023-09-15 09:39:37,12,13.33,0.08,38.864147,-77.7026515
