Pos,Breeder,Pigeon,Arrival,Speed
315,Stenman Loft,5277-AU15-VITA,53:48.0,101.266
316,Greek Connection,0523-AU15-GRK,54:11.0,101.043
317,P J Loft,0006-IF15-PJLO,54:18.0,100.975
318,Alias-Alias,2047-AU15-ALIA,54:26.0,100.898
319,Cypress Hills Farm,15636-AU15-HELF,54:41.0,100.754
320,Leyba's Loft,0150-AU15-FTSU,54:44.0,100.725
321,7-11 Syndicate,1965-AU15-SD,54:51.0,100.658
322,Clear Springs Loft,0246-AU15-NWFI,54:54.0,100.629
323,A P C Loft,15080-AU15-APC,55:02.0,100.552
324,Family Loft,0055-AU15-FAM,55:19.0,100.39
325,Redtex,0011-AU15-RTEX,55:20.0,100.38
326,T C R Loft,3357-AU15-AA,55:27.0,100.313
327,Twin200,7800-AU15-VITA,55:28.0,100.304
328,Kiko Arana,57088-AU15-ARPU,55:40.0,100.19
329,Dave Harrett,0007-AU15-JEDD,55:41.0,100.18
330,Emerson/Krass,1554-AU15-EMER,56:01.0,99.991
331,Little Reata Loft,15450-AU15-JETT,56:10.0,99.905
332,Debbie Ganus,0726-AU15-GFL,56:33.0,99.688
333,Baysideboys,2758-IF15-FOYS,56:56.0,99.472
334,King City,0085-AU15-AIRC,57:01.0,99.426
335,Bynum Family Lofts,27678-AU15-ARPU,57:16.0,99.285
336,4-Birds,0760-AU15-ESPO,57:26.0,99.192
337,Non Pareil Loft,0012-AU15-NPL,58:40.0,98.507
338,The Bailey Team,1551-AU15-GJC,58:43.0,98.48
339,Family Loft,0151-AU15-FAM,59:00.0,98.324
340,Andy Skwiat,0031-AU15-ANDY,59:01.0,98.315
341,Iv Aces Loft,7099-IF15-ACES,59:09.0,98.242
342,Loizzi/Sikora,1746-AU15-FVC,59:17.0,98.169
343,Greg Glazier,5755-AU15-SLI,59:18.0,98.16
344,Redtex,0001-AU15-RTEX,59:28.0,98.068
345,Baldwin & Tilson,1193-AU15-TENT,59:43.0,97.932
346,4-Birds,0770-AU15-ESPO,59:44.0,97.923
347,Alias-Alias,2009-AU15-ALIA,59:48.0,97.887
348,Stenman Loft,5272-AU15-VITA,59:53.0,97.841
349,Mayberry Classic,5509-AU15-MAC,00:03.0,97.751
350,Little Reata Loft,15468-AU15-JETT,00:37.0,97.444
351,Shang N Dennis Yoh,0999-AU15-JEDD,01:23.0,97.032
352,Andy Skwiat,0032-AU15-ANDY,04:13.0,95.54
353,Flyhome Loft,1532-AU15-FLYH,09:52.0,92.697
354,P J Loft,0002-IF15-PJLO,11:46.0,91.778
355,Tony Family Lofts,58857-AU15-ARPU,11:52.0,91.73
356,Baldwin & Tilson,0979-AU15-TENT,11:59.0,91.675
357,Baysideboys,2748-IF15-FOYS,12:02.0,91.651
358,Greek Connection,0674-AU15-GRK,12:03.0,91.643
358,Jerdee,0005-IF15-POWS,12:03.0,91.643
360,Goshentown Lofts,5848-AU15-VITA,12:06.0,91.619
361,E & E Loft,0016-AU15-EE,12:07.0,91.611
362,The Bailey Team,0444-AU15-GJC,12:08.0,91.603
363,Jerdee,0001-IF15-POWS,12:09.0,91.595
363,Jerdee,0003-IF15-POWS,12:09.0,91.595
365,E & E Loft,0017-AU15-EE,12:11.0,91.579
365,Captain Chuck,1681-AU15-CAPT,12:11.0,91.579
367,Jb & D,1287-IF15-CCC,12:16.0,91.54
368,Milner-Mckinsey,2493-AU15-VITA,12:17.0,91.532
369,Jerdee,0007-IF15-POWS,12:20.0,91.508
369,Hutchins/Milner,2495-AU15-VITA,12:20.0,91.508
371,Baldwin & Tilson,1196-AU15-TENT,12:21.0,91.5
372,Captain Chuck,1669-AU15-CAPT,12:23.0,91.484
373,Stelling Loft,0254-AU15-JHS,12:24.0,91.476
374,Captain Chuck,1684-AU15-CAPT,12:27.0,91.452
375,Sandstrom Brothers Loft,0372-AU15-SBL,12:30.0,91.429
376,Sandstrom Brothers Loft,0371-AU15-SBL,12:31.0,91.421
377,Jerdee,0010-IF15-POWS,12:32.0,91.413
377,Captain Chuck,1520-AU15-CAPT,12:32.0,91.413
379,Captain Chuck,1680-AU15-CAPT,12:35.0,91.389
380,Hutchins/Milner,0085-AU15-HUTC,12:36.0,91.381
